编号,精灵名,蛋种(产蛋形态),蛋组,最小蛋重(kg),最大蛋重(kg),最小蛋高(m),最大蛋高(m),主属性,副属性,属性,进化阶段,精灵形态,地区形态名称,精灵最小身高(m),精灵最大身高(m),精灵最小体重(kg),精灵最大体重(kg),BWiki页面标题,BWiki修订时间,BWiki抓取状态
NO.188,棋棋（黑子）,棋棋（黑子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,Ⅰ阶,地区形态,黑子,0.35,0.47,10.7,14.5,棋棋（黑子）,2026-06-07T13:58:46Z,ok
NO.189,棋骑士（白子）,棋棋（白子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,原始形态,白子,0.98,1.35,43.06,60.09,棋骑士（白子）,2026-06-07T13:59:11Z,ok
NO.189,棋骑士（黑子）,棋棋（黑子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,地区形态,黑子,0.98,1.35,43.06,60.09,棋骑士（黑子）,2026-06-07T13:59:17Z,ok
NO.190,棋齐垒（白子）,棋棋（白子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,原始形态,白子,1.45,1.71,58.01,70.05,棋齐垒（白子）,2026-06-07T13:59:23Z,ok
NO.190,棋齐垒（黑子）,棋棋（黑子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,地区形态,黑子,1.45,1.71,58.01,70.05,棋齐垒（黑子）,2026-06-07T13:59:24Z,ok
NO.191,棋祈督（白子）,棋棋（白子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,原始形态,白子,0.98,1.35,38.07,47.05,棋祈督（白子）,2026-06-07T13:59:04Z,ok
NO.191,棋祈督（黑子）,棋棋（黑子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,地区形态,黑子,0.98,1.35,38.07,47.05,棋祈督（黑子）,2026-06-07T13:59:05Z,ok
NO.192,棋绮后（白子）,棋棋（白子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,原始形态,白子,1.66,1.81,30.01,41.02,棋绮后（白子）,2026-06-07T13:59:08Z,ok
NO.192,棋绮后（黑子）,棋棋（黑子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,最终形态,地区形态,黑子,1.66,1.81,30.01,41.02,棋绮后（黑子）,2026-06-07T13:59:09Z,ok
NO.193,奔波鼠,奔波鼠,动物组、拟人组,1.299,2.56,0.2,0.25,地,,地,Ⅰ阶,原始形态,,0.46,0.6,3.71,6.4,奔波鼠,2026-06-06T20:44:45Z,ok
NO.194,流浪鼠,奔波鼠,动物组、拟人组,1.299,2.56,0.2,0.25,地,,地,最终形态,原始形态,,0.88,1.23,59.6,74.3,流浪鼠,2026-06-06T20:43:26Z,ok
NO.195,呆小路,呆小路,动物组、拟人组,1.575,2.32,0.25,0.34,草,萌,草、萌,Ⅰ阶,原始形态,,0.58,0.83,4.5,5.8,呆小路,2026-06-07T13:24:16Z,ok
NO.196,舞动路路,呆小路,动物组、拟人组,1.575,2.32,0.25,0.34,草,萌,草、萌,Ⅱ阶,原始形态,,0.69,0.99,7.4,9.1,舞动路路,2026-06-07T14:10:14Z,ok
NO.197,白发路路,呆小路,动物组、拟人组,1.575,2.32,0.25,0.34,草,萌,草、萌,最终形态,原始形态,,0.89,1.27,15.5,21.6,白发路路,2026-06-07T14:06:20Z,ok
NO.198,逗逗,逗逗,动物组、巨灵组,0.21,0.32,0.13,0.17,萌,,萌,Ⅰ阶,原始形态,,0.3,0.4,0.45,1.53,逗逗,2026-06-07T14:16:24Z,ok
NO.199,气球猫,逗逗,动物组、巨灵组,0.21,0.32,0.13,0.17,萌,,萌,Ⅱ阶,原始形态,,0.41,0.59,0.95,2.15,气球猫,2026-06-07T13:59:45Z,ok
NO.200,梦想三三,逗逗,动物组、巨灵组,0.21,0.32,0.13,0.17,萌,,萌,最终形态,原始形态,,1.18,1.45,12.04,19.04,梦想三三,2026-06-07T13:58:03Z,ok
NO.201,花怨鳗,花怨鳗,两栖组、海洋组,1.015,1.6,0.25,0.28,地,草,地、草,Ⅰ阶,原始形态,,0.58,0.68,2.9,4,花怨鳗,2026-06-07T14:10:26Z,ok
NO.202,鳗尾兽,花怨鳗,两栖组、海洋组,1.015,1.6,0.25,0.28,地,草,地、草,最终形态,原始形态,,0.79,0.92,19.8,36.5,鳗尾兽,2026-06-07T14:36:17Z,ok
NO.203,伊雷龙,伊雷龙,龙组,9.52,13.6,0.31,0.39,龙,,龙,Ⅰ阶,原始形态,,0.72,0.94,27.2,34,伊雷龙,2026-06-07T13:17:23Z,ok
NO.204,伊兰龙,伊雷龙,龙组,9.52,13.6,0.31,0.39,龙,,龙,最终形态,首领形态,,5.5,7,228,342,伊兰龙,2026-06-07T13:54:23Z,ok
NO.204,伊兰亚龙,伊雷龙,龙组,9.52,13.6,0.31,0.39,龙,,龙,最终形态,原始形态,,3.65,4,168,195,伊兰亚龙,2026-06-07T13:16:58Z,ok
NO.205,拉特,拉特,妖精组,2.695,3.44,0.21,0.25,电,,电,Ⅰ阶,原始形态,,0.49,0.61,7.7,8.6,拉特,2026-06-07T04:48:39Z,ok
NO.206,酷拉,拉特,妖精组,2.695,3.44,0.21,0.25,电,,电,最终形态,原始形态,,0.99,1.24,19.5,23.5,酷拉,2026-06-07T14:31:19Z,ok
NO.207,闪电环,闪电环,魔力组,0.84,1.24,0.16,0.19,电,,电,Ⅰ阶,原始形态,,0.37,0.46,2.4,3.1,闪电环,2026-06-07T14:32:44Z,ok
NO.208,刺电环,闪电环,魔力组,0.84,1.24,0.16,0.19,电,,电,Ⅱ阶,原始形态,,0.58,0.73,10.16,16.74,刺电环,2026-06-07T13:19:19Z,ok
NO.209,荆棘电环,闪电环,魔力组,0.84,1.24,0.16,0.19,电,,电,最终形态,原始形态,,0.78,0.98,29.5,34.3,荆棘电环,2026-06-07T14:11:22Z,ok
NO.210,小箱怪,小箱怪,妖精组、机械组,1.558,2.724,0.14,0.19,机械,幻,机械、幻,Ⅰ阶,原始形态,,0.34,0.46,4.45,6.81,小箱怪,2026-06-07T13:35:35Z,ok
NO.211,迷迷箱怪,小箱怪,妖精组、机械组,1.558,2.724,0.14,0.19,机械,幻,机械、幻,最终形态,原始形态,,0.64,0.72,18.02,24.4,迷迷箱怪,2026-06-07T14:16:16Z,ok
NO.212,古钟蛇（本来的样子）,古钟蛇（本来的样子）,两栖组、动物组,2.415,3.12,0.4,0.46,萌,毒,萌、毒,Ⅰ阶,原始形态,本来的样子,0.95,1.1,6.9,7.8,古钟蛇（本来的样子）,2026-06-07T16:33:11Z,ok
NO.213,寒音蛇（本来的样子）,古钟蛇（本来的样子）,两栖组、动物组,2.415,3.12,0.4,0.46,萌,毒,萌、毒,最终形态,原始形态,本来的样子,1.85,2,65,78,寒音蛇（本来的样子）,2026-06-07T16:33:17Z,ok
NO.214,矮脚爬爬,矮脚爬爬,巨灵组、昆虫组,1.155,1.68,0.12,0.18,虫,,虫,Ⅰ阶,原始形态,,0.28,0.44,3.3,4.2,矮脚爬爬,2026-06-07T14:06:38Z,ok
NO.215,恶魔红钻,矮脚爬爬,巨灵组、昆虫组,1.155,1.68,0.12,0.18,虫,恶,虫、恶,最终形态,原始形态,,1.32,1.55,42.5,62,恶魔红钻,2026-06-07T13:40:02Z,ok
NO.216,火尾瓦特,火尾瓦特,巨灵组,6.475,8.48,0.27,0.38,火,,火,Ⅰ阶,原始形态,,0.64,0.92,18.5,21.2,火尾瓦特,2026-06-07T14:02:03Z,ok
NO.217,火尾战士,火尾瓦特,巨灵组,6.475,8.48,0.27,0.38,火,,火,Ⅱ阶,原始形态,,0.76,1.09,48.5,58.6,火尾战士,2026-06-07T14:01:57Z,ok
NO.218,烈火守护,火尾瓦特,巨灵组,6.475,8.48,0.27,0.38,火,,火,最终形态,原始形态,,0.99,1.42,76.5,87.5,烈火守护,2026-06-07T14:03:35Z,ok
NO.219,里拉鳐,里拉鳐,妖精组、海洋组,13.51,19.8,0.4,0.46,水,,水,最终形态,原始形态,,0.94,1.1,38.6,49.5,里拉鳐,2026-06-07T14:31:21Z,ok
NO.220,海枝枝（碧蓝珊瑚）,海枝枝（碧蓝珊瑚）,植物组、海洋组,1.229,2.728,0.32,0.35,水,幽,水、幽,最终形态,原始形态,碧蓝珊瑚,0.75,0.85,3.51,6.82,海枝枝（碧蓝珊瑚）,2026-06-07T14:00:34Z,ok
NO.220,海枝枝（杏黄百合）,海枝枝（杏黄百合）,植物组、海洋组,1.229,2.728,0.32,0.35,水,幽,水、幽,最终形态,地区形态,杏黄百合,0.75,0.85,3.51,6.82,海枝枝（杏黄百合）,2026-06-07T14:00:30Z,ok
NO.220,海枝枝（洋红沙丁）,海枝枝（洋红沙丁）,植物组、海洋组,1.229,2.728,0.32,0.35,水,幽,水、幽,最终形态,地区形态,洋红沙丁,0.75,0.85,3.51,6.82,海枝枝（洋红沙丁）,2026-06-07T14:00:31Z,ok
NO.220,海枝枝（翠绿纶布）,海枝枝（翠绿纶布）,植物组、海洋组,1.229,2.728,0.32,0.35,水,幽,水、幽,最终形态,地区形态,翠绿纶布,0.75,0.85,3.51,6.82,海枝枝（翠绿纶布）,2026-06-07T14:00:55Z,ok
NO.221,多西,多西,巨灵组、机械组,1.995,2.84,0.28,0.39,机械,地,机械、地,Ⅰ阶,原始形态,,0.65,0.94,5.7,7.1,多西,2026-06-07T13:30:51Z,ok
NO.222,库多西,多西,巨灵组、机械组,1.995,2.84,0.28,0.39,机械,地,机械、地,Ⅱ阶,原始形态,,0.99,1.42,115.8,175.02,库多西,2026-06-07T13:39:42Z,ok
NO.223,波多西,多西,巨灵组、机械组,1.995,2.84,0.28,0.39,机械,地,机械、地,最终形态,原始形态,,1.43,2.05,265,295,波多西,2026-06-07T14:00:17Z,ok
NO.224,小翼龙,小翼龙,天空组、龙组,8.785,14.6,0.26,0.36,龙,翼,龙、翼,Ⅰ阶,原始形态,,0.61,0.87,25.1,36.5,小翼龙,2026-06-07T13:35:55Z,ok
NO.225,翼龙,小翼龙,天空组、龙组,8.785,14.6,0.26,0.36,龙,翼,龙、翼,最终形态,原始形态,,1.79,1.99,240,265,翼龙,2026-06-07T04:50:00Z,ok
NO.226,电动长颈鹿,电动长颈鹿,动物组,10.43,14.72,0.3,0.42,电,,电,Ⅰ阶,原始形态,,0.7,1,29.8,36.8,电动长颈鹿,2026-06-07T14:05:50Z,ok
NO.227,奔乐鹿,电动长颈鹿,动物组,10.43,14.72,0.3,0.42,电,,电,Ⅱ阶,原始形态,,0.85,1.22,68,77.5,奔乐鹿,2026-06-07T13:31:56Z,ok
NO.228,爵士鹿,电动长颈鹿,动物组,10.43,14.72,0.3,0.42,电,,电,最终形态,原始形态,,1.38,1.98,135,185.06,爵士鹿,2026-06-07T14:05:05Z,ok
NO.229,缇塔,缇塔,机械组,13.37,18.08,0.28,0.31,机械,,机械,Ⅰ阶,原始形态,,0.65,0.75,38.2,45.2,缇塔,2026-06-07T14:09:52Z,ok
NO.230,声波缇塔,缇塔,机械组,13.37,18.08,0.28,0.31,机械,,机械,最终形态,原始形态,,1.05,1.2,71.5,78.5,声波缇塔,2026-06-07T13:30:02Z,ok
NO.231,小鹬,小鹬,天空组,0.49,0.88,0.11,0.15,翼,,翼,Ⅰ阶,原始形态,,0.25,0.36,1.4,2.2,小鹬,2026-06-07T13:36:45Z,ok
NO.232,鄙目鹬,小鹬,天空组,0.49,0.88,0.11,0.15,翼,,翼,Ⅱ阶,原始形态,,0.67,0.96,6.75,8.9,鄙目鹬,2026-06-07T14:31:17Z,ok
NO.233,高脚鹬,小鹬,天空组,0.49,0.88,0.11,0.15,翼,,翼,最终形态,原始形态,,0.81,1.16,18,24.91,高脚鹬,2026-06-07T14:35:42Z,ok
NO.234,脆筒甜甜,脆筒甜甜,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,Ⅰ阶,原始形态,,0.3,0.4,1.8,3.8,脆筒甜甜,2026-06-07T14:10:06Z,ok
NO.235,香草甜甜,脆筒甜甜,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,Ⅱ阶,原始形态,,0.4,0.6,5.15,7.8,香草甜甜,2026-06-07T14:35:34Z,ok
NO.235,香草甜甜（杨桃饰品）,脆筒甜甜（杨桃饰品）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,Ⅱ阶,地区形态,杨桃饰品,0.4,0.6,5.15,7.8,香草甜甜（杨桃饰品）,2026-06-07T14:35:40Z,ok
NO.235,香草甜甜（蓝莓饰品）,脆筒甜甜（蓝莓饰品）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,Ⅱ阶,地区形态,蓝莓饰品,0.4,0.6,5.15,7.8,香草甜甜（蓝莓饰品）,2026-06-07T14:35:41Z,ok
NO.236,圣代甜甜,脆筒甜甜,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,原始形态,,0.7,1,16.5,22.75,圣代甜甜,2026-06-07T13:27:05Z,ok
NO.236,圣代甜甜（樱桃草莓口味）,脆筒甜甜（樱桃草莓口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,樱桃草莓口味,0.7,1,16.5,22.75,圣代甜甜（樱桃草莓口味）,2026-06-07T13:27:56Z,ok
NO.236,圣代甜甜（樱桃抹茶口味）,脆筒甜甜（樱桃抹茶口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,樱桃抹茶口味,0.7,1,16.5,22.75,圣代甜甜（樱桃抹茶口味）,2026-06-07T13:27:47Z,ok
NO.236,圣代甜甜（蓝莓巧克力口味）,脆筒甜甜（蓝莓巧克力口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,蓝莓巧克力口味,0.7,1,16.5,22.75,圣代甜甜（蓝莓巧克力口味）,2026-06-07T13:27:58Z,ok
NO.236,圣代甜甜（蓝莓草莓口味）,脆筒甜甜（蓝莓草莓口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,蓝莓草莓口味,0.7,1,16.5,22.75,圣代甜甜（蓝莓草莓口味）,2026-06-07T13:28:21Z,ok
NO.236,圣代甜甜（蓝莓抹茶口味）,脆筒甜甜（蓝莓抹茶口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,蓝莓抹茶口味,0.7,1,16.5,22.75,圣代甜甜（蓝莓抹茶口味）,2026-06-07T13:28:00Z,ok
NO.236,圣代甜甜（杨桃巧克力口味）,脆筒甜甜（杨桃巧克力口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,杨桃巧克力口味,0.7,1,16.5,22.75,圣代甜甜（杨桃巧克力口味）,2026-06-07T13:27:05Z,ok
NO.236,圣代甜甜（杨桃草莓口味）,脆筒甜甜（杨桃草莓口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,杨桃草莓口味,0.7,1,16.5,22.75,圣代甜甜（杨桃草莓口味）,2026-06-07T13:27:42Z,ok
NO.236,圣代甜甜（杨桃抹茶口味）,脆筒甜甜（杨桃抹茶口味）,软体组、魔力组,0.63,1.52,0.13,0.17,冰,,冰,最终形态,地区形态,杨桃抹茶口味,0.7,1,16.5,22.75,圣代甜甜（杨桃抹茶口味）,2026-06-07T13:27:36Z,ok
NO.237,刺轮砣（上弦的样子）,刺轮砣（上弦的样子）,海洋组,0.945,1.6,0.08,0.13,毒,萌,毒、萌,Ⅰ阶,原始形态,上弦的样子,0.18,0.31,2.7,4,刺轮砣（上弦的样子）,2026-06-07T13:19:21Z,ok
NO.237,刺轮砣（下弦的样子）,刺轮砣（下弦的样子）,海洋组,0.945,1.6,0.08,0.13,毒,萌,毒、萌,Ⅰ阶,地区形态,下弦的样子,0.18,0.31,2.7,4,刺轮砣（下弦的样子）,2026-06-07T13:19:27Z,ok
NO.238,月亮砣（上弦的样子）,刺轮砣（上弦的样子）,海洋组,0.945,1.6,0.08,0.13,毒,萌,毒、萌,最终形态,原始形态,上弦的样子,1.85,2.1,137.5,182.4,月亮砣（上弦的样子）,2026-06-07T13:55:23Z,ok
NO.238,月亮砣（下弦的样子）,刺轮砣（下弦的样子）,海洋组,0.945,1.6,0.08,0.13,毒,萌,毒、萌,最终形态,地区形态,下弦的样子,1.85,2.1,128,184.4,月亮砣（下弦的样子）,2026-06-07T13:55:24Z,ok
NO.239,豆丁鱼,豆丁鱼,海洋组、龙组,0.42,0.6,0.13,0.18,水,龙,水、龙,Ⅰ阶,原始形态,,0.31,0.44,1.2,3.4,豆丁鱼,2026-06-07T14:14:18Z,ok
NO.240,快鳍鱼,豆丁鱼,海洋组、龙组,0.42,0.6,0.13,0.18,水,龙,水、龙,Ⅱ阶,原始形态,,0.27,0.39,14.5,16.8,快鳍鱼,2026-06-07T13:39:44Z,ok
NO.241,龙鱼,豆丁鱼,海洋组、龙组,0.42,0.6,0.13,0.18,水,龙,水、龙,最终形态,原始形态,,0.69,0.99,39.5,44.5,龙鱼,2026-06-07T14:37:37Z,ok
NO.242,胆小鳗鱼,胆小鳗鱼,海洋组,6.125,10.74,0.31,0.44,电,水,电、水,Ⅰ阶,原始形态,,0.74,1.07,17.5,26.85,胆小鳗鱼,2026-06-07T14:10:04Z,ok
NO.243,闪电鳗鱼,胆小鳗鱼,海洋组,6.125,10.74,0.31,0.44,电,水,电、水,最终形态,原始形态,,0.83,1.19,68.9,76.5,闪电鳗鱼,2026-06-07T14:32:51Z,ok
NO.244,翡翠水母,翡翠水母,海洋组、软体组,11.025,14.72,0.21,0.29,水,毒,水、毒,Ⅰ阶,原始形态,,0.49,0.7,31.5,36.8,翡翠水母,2026-06-07T14:10:01Z,ok
NO.245,琉璃水母,翡翠水母,海洋组、软体组,11.025,14.72,0.21,0.29,水,毒,水、毒,最终形态,原始形态,,0.9,1.28,48,53,琉璃水母,2026-06-07T14:05:27Z,ok
NO.246,裘洛,裘洛,动物组、妖精组,2.625,5,0.3,0.42,毒,,毒,Ⅰ阶,原始形态,,0.7,1,7.5,12.5,裘洛,2026-06-07T14:13:58Z,ok
NO.247,裘力,裘洛,动物组、妖精组,2.625,5,0.3,0.42,毒,,毒,Ⅱ阶,原始形态,,0.81,1.16,14.07,18.02,裘力,2026-06-07T14:13:29Z,ok
NO.248,裘卡,裘洛,动物组、妖精组,2.625,5,0.3,0.42,毒,,毒,最终形态,原始形态,,1.25,1.79,49.5,58.6,裘卡,2026-06-07T14:13:45Z,ok
NO.249,可爱猿,可爱猿,巨灵组、拟人组,7.35,12.6,0.29,0.41,火,,火,Ⅰ阶,原始形态,,0.69,0.98,21,31.5,可爱猿,2026-06-07T13:23:52Z,ok
NO.250,炽热猿,可爱猿,巨灵组、拟人组,7.35,12.6,0.29,0.41,火,,火,Ⅱ阶,原始形态,,0.71,1.02,46.5,63.5,炽热猿,2026-06-07T14:03:04Z,ok
NO.251,火焰猿,可爱猿,巨灵组、拟人组,7.35,12.6,0.29,0.41,火,,火,最终形态,原始形态,,1.68,1.9,124.5,136.5,火焰猿,2026-06-07T14:02:05Z,ok
NO.252,布鲁斯,布鲁斯,海洋组、软体组,0.84,1.84,0.23,0.32,冰,,冰,Ⅰ阶,原始形态,,0.53,0.76,2.4,4.6,布鲁斯,2026-06-07T13:38:14Z,ok
NO.253,雪顶布鲁斯,布鲁斯,海洋组、软体组,0.84,1.84,0.23,0.32,冰,,冰,Ⅱ阶,原始形态,,0.58,0.83,12.8,15.6,雪顶布鲁斯,2026-06-07T14:34:27Z,ok
NO.254,冰钻布鲁斯,布鲁斯,海洋组、软体组,0.84,1.84,0.23,0.32,冰,,冰,最终形态,原始形态,,1.21,1.72,49.5,58.6,冰钻布鲁斯,2026-06-07T13:18:47Z,ok
NO.255,治愈兔,治愈兔,动物组、妖精组,4.211,5.768,0.24,0.34,火,萌,火、萌,Ⅰ阶,原始形态,,0.57,0.82,12.03,14.42,治愈兔,2026-06-07T14:00:12Z,ok
NO.256,红丝绒,治愈兔,动物组、妖精组,4.211,5.768,0.24,0.34,火,萌,火、萌,Ⅱ阶,原始形态,,0.68,0.97,22.4,28.6,红丝绒,2026-06-07T14:09:03Z,ok
NO.257,红绒十字,治愈兔,动物组、妖精组,4.211,5.768,0.24,0.34,火,萌,火、萌,最终形态,原始形态,,1.04,1.49,32.5,36.8,红绒十字,2026-06-07T14:09:11Z,ok
NO.258,乌达（极昼的样子）,乌达（极昼的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,火,恶、火,Ⅰ阶,原始形态,极昼的样子,0.44,0.58,4.6,6.1,乌达（极昼的样子）,2026-06-07T13:16:00Z,ok
NO.258,乌达（极夜的样子）,乌达（极夜的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,冰,恶、冰,Ⅰ阶,地区形态,极夜的样子,0.44,0.58,4.6,6.1,乌达（极夜的样子）,2026-06-07T13:15:59Z,ok
NO.259,迷你乌（极昼的样子）,乌达（极昼的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,火,恶、火,Ⅱ阶,原始形态,极昼的样子,0.97,1.2,27.9,39.1,迷你乌（极昼的样子）,2026-06-07T14:15:51Z,ok
NO.259,迷你乌（极夜的样子）,乌达（极夜的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,冰,恶、冰,Ⅱ阶,地区形态,极夜的样子,0.97,1.2,27.9,39.1,迷你乌（极夜的样子）,2026-06-07T14:15:44Z,ok
NO.260,乌拉塔（极昼的样子）,乌达（极昼的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,火,恶、火,最终形态,原始形态,极昼的样子,1.85,2.1,48.8,63.29,乌拉塔（极昼的样子）,2026-06-07T13:15:55Z,ok
NO.260,乌拉塔（极夜的样子）,乌达（极夜的样子）,巨灵组,1.61,2.44,0.19,0.24,恶,冰,恶、冰,最终形态,地区形态,极夜的样子,1.85,2.1,48.8,63.29,乌拉塔（极夜的样子）,2026-06-07T13:15:50Z,ok
NO.261,螺旋帕帕,螺旋帕帕,天空组、机械组,0.728,1.74,0.15,0.19,机械,翼,机械、翼,Ⅰ阶,原始形态,,0.35,0.45,2.08,4.35,螺旋帕帕,2026-06-07T14:13:26Z,ok
NO.262,帕帕斯卡,螺旋帕帕,天空组、机械组,0.728,1.74,0.15,0.19,机械,翼,机械、翼,最终形态,原始形态,,1.05,1.47,48.7,60.1,帕帕斯卡,2026-06-07T13:38:46Z,ok
NO.263,机械方方,机械方方,拟人组、机械组,2.8,4.4,0.18,0.25,机械,,机械,Ⅰ阶,原始形态,,0.42,0.6,8,11,机械方方,2026-06-07T13:55:35Z,ok
NO.264,多彩方方,机械方方,拟人组、机械组,2.8,4.4,0.18,0.25,机械,,机械,Ⅱ阶,原始形态,,0.68,0.97,23.77,34.6,多彩方方,2026-06-07T13:30:36Z,ok
NO.265,立方人,机械方方,拟人组、机械组,2.8,4.4,0.18,0.25,机械,,机械,最终形态,原始形态,,1.78,2.01,106.5,139.07,立方人,2026-06-07T14:08:20Z,ok
NO.266,可立鸡,可立鸡,天空组、拟人组,1.61,2.96,0.17,0.23,火,,火,Ⅰ阶,原始形态,,0.39,0.56,4.6,7.4,可立鸡,2026-06-07T13:23:54Z,ok
NO.267,晕晕鸡,可立鸡,天空组、拟人组,1.61,2.96,0.17,0.23,火,,火,Ⅱ阶,原始形态,,0.68,0.91,12.03,18.06,晕晕鸡,2026-06-07T13:40:57Z,ok
NO.268,绅士鸡,可立鸡,天空组、拟人组,1.61,2.96,0.17,0.23,火,武,火、武,最终形态,原始形态,,1.31,1.87,46.8,58.2,绅士鸡,2026-06-07T14:09:17Z,ok
NO.269,武者鸡,可立鸡,天空组、拟人组,1.61,2.96,0.17,0.23,火,武,火、武,最终形态,原始形态,,1.46,2.09,46.8,58.2,武者鸡,2026-06-07T13:59:32Z,ok
NO.270,优优,优优,动物组,1.061,1.64,0.16,0.23,地,光,地、光,Ⅰ阶,原始形态,,0.38,0.56,3.03,4.1,优优,2026-06-07T13:17:27Z,ok
NO.271,绒光优优,优优,动物组,1.061,1.64,0.16,0.23,地,光,地、光,最终形态,原始形态,,0.69,0.85,13.5,19.6,绒光优优,2026-06-07T14:09:29Z,ok
NO.272,噼啪鸟,噼啪鸟,天空组、巨灵组,31.325,51,0.85,0.89,电,翼,电、翼,最终形态,原始形态,,2,2.15,89.5,127.5,噼啪鸟,2026-06-07T13:26:43Z,ok
NO.273,深蓝鲸,深蓝鲸,巨灵组、海洋组,225.75,280,0.85,1.1,水,,水,最终形态,原始形态,,2,2.65,645,700,深蓝鲸,2026-06-07T14:01:38Z,ok
NO.274,格兰种子,格兰种子,妖精组、植物组,1.225,2.16,0.17,0.24,草,,草,Ⅰ阶,原始形态,,0.4,0.57,3.5,5.4,格兰种子,2026-06-07T13:56:59Z,ok
NO.275,格兰花,格兰种子,妖精组、植物组,1.225,2.16,0.17,0.24,草,,草,Ⅱ阶,原始形态,,0.48,0.68,6.5,7.8,格兰花,2026-06-07T13:57:17Z,ok
NO.276,格兰球,格兰种子,妖精组、植物组,1.225,2.16,0.17,0.24,草,,草,最终形态,原始形态,,0.81,1.16,12.5,16.5,格兰球,2026-06-07T13:56:58Z,ok
NO.277,地鼠（枯水期的样子）,地鼠（枯水期的样子）,动物组,0.63,0.96,0.2,0.27,地,,地,Ⅰ阶,原始形态,枯水期的样子,0.46,0.66,1.8,2.85,地鼠（枯水期的样子）,2026-06-07T13:29:32Z,ok
NO.277,地鼠（储水期的样子）,地鼠（储水期的样子）,动物组,1.33,2.052,0.2,0.27,地,,地,Ⅰ阶,地区形态,储水期的样子,0.46,0.66,3.8,5.13,地鼠（储水期的样子）,2026-06-07T16:25:24Z,ok
NO.278,遁鼠（枯水期的样子）,地鼠（枯水期的样子）,动物组,0.63,0.96,0.2,0.27,地,,地,Ⅱ阶,原始形态,枯水期的样子,0.48,0.69,3.4,4.8,遁鼠（枯水期的样子）,2026-06-07T14:31:12Z,ok
NO.278,遁鼠（储水期的样子）,地鼠（储水期的样子）,动物组,1.33,2.052,0.2,0.27,地,,地,Ⅱ阶,地区形态,储水期的样子,0.48,0.69,5.42,6.82,遁鼠（储水期的样子）,2026-06-07T16:26:47Z,ok
NO.279,遁地鼠（枯水期的样子）,地鼠（枯水期的样子）,动物组,0.63,0.96,0.2,0.27,地,,地,最终形态,原始形态,枯水期的样子,0.64,0.92,6.4,7.5,遁地鼠（枯水期的样子）,2026-06-07T14:31:10Z,ok
NO.279,遁地鼠（储水期的样子）,地鼠（储水期的样子）,动物组,1.33,2.052,0.2,0.27,地,,地,最终形态,地区形态,储水期的样子,0.64,0.92,9.4,11.5,遁地鼠（储水期的样子）,2026-06-07T16:26:07Z,ok
NO.280,墨鱿士,墨鱿士,海洋组、软体组,1.138,2.008,0.15,0.19,幽,,幽,Ⅰ阶,原始形态,,0.35,0.46,3.25,5.02,墨鱿士,2026-06-07T13:29:57Z,ok
NO.281,混乱鱿彩,墨鱿士,海洋组、软体组,1.138,2.008,0.15,0.19,幽,恶,幽、恶,最终形态,原始形态,,1.36,1.54,36.9,48.2,混乱鱿彩,2026-06-05T12:45:47Z,ok
NO.282,秩序鱿墨,墨鱿士,海洋组、软体组,1.138,2.008,0.15,0.19,幽,萌,幽、萌,最终形态,原始形态,,1.59,1.72,45.6,60.1,秩序鱿墨,2026-06-07T14:07:51Z,ok
NO.283,小甲虫,小甲虫,天空组、昆虫组,2.275,3.36,0.2,0.28,虫,,虫,Ⅰ阶,原始形态,,0.48,0.68,6.5,8.4,小甲虫,2026-06-07T13:35:30Z,ok
